layer_num,prune_ratio,quant_type,accuracy(%),run_time(ms)
18,0.0,qint8,13.9,1.369
18,0.0,none,15.5,1.393
18,0.0,float16,13.1,1.382
18,0.25,qint8,13.9,1.433
18,0.25,none,13.8,1.402
18,0.25,float16,11.5,1.384
18,0.5,qint8,16.1,1.406
18,0.5,none,14.8,1.423
18,0.5,float16,14.1,1.413
18,0.75,qint8,12.0,1.444
18,0.75,none,13.3,1.42
18,0.75,float16,16.7,1.532
24,0.0,qint8,13.0,2.145
24,0.0,none,11.8,2.156
24,0.0,float16,13.6,2.144
24,0.25,qint8,12.8,2.152
24,0.25,none,13.4,2.171
24,0.25,float16,12.4,2.222
24,0.5,qint8,12.2,2.213
24,0.5,none,12.6,2.217
24,0.5,float16,13.7,2.203
24,0.75,qint8,10.8,2.202
24,0.75,none,12.4,2.208
24,0.75,float16,13.7,2.194
30,0.0,qint8,12.0,2.552
30,0.0,none,11.8,2.563
30,0.0,float16,15.2,2.611
30,0.25,qint8,13.9,2.569
30,0.25,none,13.8,2.583
30,0.25,float16,12.0,2.559
30,0.5,qint8,14.8,2.571
30,0.5,none,12.1,2.582
30,0.5,float16,13.7,2.575
30,0.75,qint8,12.9,2.566
30,0.75,none,12.6,2.585
30,0.75,float16,12.9,2.578
36,0.0,qint8,10.1,2.88
36,0.0,none,10.9,2.907
36,0.0,float16,13.3,2.885
36,0.25,qint8,10.8,2.889
36,0.25,none,11.6,2.896
36,0.25,float16,10.7,2.795
36,0.5,qint8,12.1,2.793
36,0.5,none,12.3,2.814
36,0.5,float16,15.5,2.811
36,0.75,qint8,13.0,2.82
36,0.75,none,14.6,2.828
36,0.75,float16,10.0,2.811
